City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,sheridan,44.8333,-106.9173,274.36,62,0,1.54,US,1702257851
83,treinta y tres,-33.2333,-54.3833,288.63,96,0,3.23,UY,1702257889
84,afaahiti,-17.75,-149.2833,303.08,82,76,11.11,PF,1702257761
85,keflavik,64.0049,-22.5624,275.39,93,100,4.12,IS,1702257755
86,aconibe,1.2968,10.9369,293.82,98,100,0.85,GQ,1702257889
87,inhambane,-23.865,35.3833,298.77,92,70,4.72,MZ,1702257812
88,crane,31.3974,-102.3501,282.02,23,0,1.55,US,1702257540
89,bethel,41.3712,-73.414,289.07,89,100,1.79,US,1702257569
90,buka,40.8108,69.1986,276.42,60,100,1.22,UZ,1702257768
91,stanley,54.868,-1.6985,278.86,96,75,2.57,GB,1702257770
92,al jawf,29.5,38.75,291.55,43,100,3.89,SA,1702257778
93,uturoa,-16.7333,-151.4333,300.2,80,22,10.09,PF,1702257564
94,yendi,9.4427,-0.0099,297.76,15,5,1.11,GH,1702257890
95,bafq,31.6128,55.4107,285.84,23,95,2.37,IR,1702257890
96,buraydah,26.326,43.975,283.4,26,81,3.82,SA,1702257890
97,onguday,50.75,86.15,252.02,90,5,1.41,RU,1702257890
98,xacmaz,41.4635,48.806,278.61,87,100,7.92,AZ,1702257890
99,ushuaia,-54.8,-68.3,280.96,53,0,5.14,AR,1702257666
100,avarua,-21.2078,-159.775,300.18,78,75,12.86,CK,1702257756
101,darwin,-12.4611,130.8418,302.01,79,75,1.03,AU,1702257890
102,lensk,60.7253,114.9278,246.32,92,100,3.94,RU,1702257890
103,malango,-2.9627,119.9001,298.75,71,100,0.84,ID,1702257890
104,manokwari,-0.8667,134.0833,301.21,73,100,2.31,ID,1702257890
105,riberalta,-10.9833,-66.1,299.34,82,100,1.22,BO,1702257776
106,cabo san lucas,22.8909,-109.9124,300.24,52,0,2.06,MX,1702257890
107,arraial do cabo,-22.9661,-42.0278,296.28,79,100,4.45,BR,1702257765
108,klyuchi,52.2667,79.1667,251.42,89,17,2.74,RU,1702257768
109,kibaya,-5.3,36.5667,289.44,97,100,1.47,TZ,1702257890
110,zwedru,6.0667,-8.1281,296.92,94,22,1.06,LR,1702257890
